topic,subject_diversity,message_length,ticket_volume,emerging_risk,diversity_score,length_score,volume_score,risk_score,complexity_score
SAKTI,2562,112.08845299777943,2702,419.931193472597,100.0,100.0,100.0,56.99912908661556,87.1
CAPAIAN_OUTPUT,57,83.15789473684211,57,736.7326487295479,2.1484375,63.165961535708384,2.037037037037037,100.0,37.56
OMSPAN,622,96.23584905660377,636,376.4075591666575,24.21875,79.81665552175463,23.48148148148148,51.09147257363308,37.55
SPAN,564,89.21266233766234,616,353.5838615208593,21.953125,70.87481874784478,22.74074074074074,47.993510553739384,34.97
DIGIT,411,101.24435318275154,487,363.39394812633867,15.9765625,86.19342267457462,17.962962962962965,49.3250772519706,33.8
SPM,431,96.13698630136986,438,371.41077971213855,16.7578125,79.6907846520629,16.14814814814815,50.41323746851922,32.9
GPP,235,96.33333333333333,243,406.24594812633865,9.1015625,79.94077132921102,8.925925925925926,55.14156985263051,29.93
MPN_G3,147,104.76470588235294,153,412.73338985606927,5.6640625,90.67549334792463,5.592592592592593,56.02213918004092,29.24
LPJ_BENDAHARA,143,74.88356164383562,146,381.51280321763534,5.5078125,52.63118026169201,5.333333333333334,51.784430060963324,24.03
SIMASPATEN,109,80.27966101694915,118,284.3614195558365,4.1796875,59.5014290164412,4.296296296296296,38.59764054792482,20.08
SAS,98,75.22,100,108.32650639660801,3.75,53.05952952616349,3.6296296296296298,14.703638637898116,11.92
REVISI_DIPA,91,107.71428571428571,91,0.0,3.4765625,94.43086287805932,3.2962962962962963,0.0,11.46
PIN_PPSPM,54,98.18181818181819,55,0.0,2.03125,82.29423998320807,1.9629629629629628,0.0,9.42
KONTRAK,107,84.98165137614679,109,0.0,4.1015625,65.487946531496,3.9629629629629632,0.0,8.95
SUPPLIER,56,82.25,56,0.0,2.109375,62.01004088748765,2.0,0.0,7.42
SP2D,55,69.10344827586206,58,0.0,2.0703125,45.272009512077645,2.074074074074074,0.0,5.77
UP_TUP_GUP,2,57.0,2,0.0,0.0,29.86204488842149,0.0,0.0,2.99
PMRT,24,33.54545454545455,33,0.0,0.8593750000000001,0.0,1.1481481481481481,0.0,0.63
