periode,tahun,bulan,topic,jumlah_tiket,risk_weight,baseline,growth_rate,growth_score,volume_score,emerging_score,emerging_index
2020-03,2020,3,DIGIT,10,2,5.5,81.82,81.82,2.3978952727983707,136.55032436477393,28.36
2020-04,2020,4,DIGIT,10,2,7.0,42.86,42.86,2.3978952727983707,89.79832436477392,21.21
2020-10,2020,10,DIGIT,10,2,6.333333333333333,57.89,57.89,2.3978952727983707,107.83432436477393,23.97
2021-01,2021,1,DIGIT,19,2,7.666666666666667,147.83,147.83,2.995732273553991,225.32771637686386,41.94
2021-03,2021,3,DIGIT,13,2,11.666666666666666,11.43,11.43,2.6390573296152584,55.94091727384414,16.04
2021-04,2021,4,DIGIT,20,2,13.0,53.85,53.85,3.044522437723423,113.33235900357477,24.81
2021-05,2021,5,DIGIT,19,2,13.333333333333334,42.5,42.5,2.995732273553991,98.93171637686385,22.61
2021-06,2021,6,DIGIT,23,2,17.333333333333332,32.69,32.69,3.1780538303479458,90.07686128556713,21.26
2021-08,2021,8,DIGIT,10,2,16.0,-37.5,-37.5,2.3978952727983707,-6.633675635226069,6.47
2021-09,2021,9,DIGIT,16,2,13.0,23.08,23.08,2.833213344056216,73.02741350489946,18.65
2021-10,2021,10,DIGIT,10,2,10.666666666666666,-6.25,-6.25,2.3978952727983707,30.86632436477393,12.2
2021-11,2021,11,DIGIT,17,2,12.0,41.67,41.67,2.8903717578961645,96.24994812633864,22.2
2021-12,2021,12,DIGIT,28,2,14.333333333333334,95.35,95.35,3.367295829986474,168.29673327978358,33.22
2022-01,2022,1,DIGIT,28,2,18.333333333333332,52.73,52.73,3.367295829986474,117.15273327978358,25.4
2022-02,2022,2,DIGIT,16,2,24.333333333333332,-34.25,-34.25,2.833213344056216,4.231413504899457,8.13
2022-03,2022,3,DIGIT,31,2,24.0,29.17,29.17,3.4657359027997265,90.45577444479562,21.31
2022-04,2022,4,DIGIT,32,2,25.0,28.0,28.0,3.4965075614664802,89.5441209834637,21.18
2022-05,2022,5,DIGIT,28,2,26.333333333333332,6.33,6.33,3.367295829986474,61.47273327978358,16.88
2022-06,2022,6,DIGIT,26,2,30.333333333333332,-14.29,-14.29,3.295836866004329,35.58538985606927,12.92
2022-07,2022,7,DIGIT,10,2,28.666666666666668,-65.12,-65.12,2.3978952727983707,-39.777675635226075,1.4
2022-08,2022,8,DIGIT,18,2,21.333333333333332,-15.62,-15.62,2.9444389791664403,28.367023666663044,11.82
2022-09,2022,9,DIGIT,55,2,18.0,205.56,205.56,4.02535169073515,311.0776270517624,55.05
2022-10,2022,10,DIGIT,24,2,27.666666666666668,-13.25,-13.25,3.2188758248682006,35.60201319789122,12.93
2022-11,2022,11,DIGIT,29,2,32.333333333333336,-10.31,-10.31,3.4011973816621555,42.047158106594495,13.91
2022-12,2022,12,DIGIT,12,2,36.0,-66.67,-66.67,2.5649493574615367,-38.96481028061542,1.52
2020-03,2020,3,GPP,10,2,6.0,66.67,66.67,2.3978952727983707,118.37032436477394,25.58
2020-05,2020,5,GPP,21,2,7.0,200.0,200.0,3.091042453358316,289.45667925373306,51.75
2020-06,2020,6,GPP,10,2,12.333333333333334,-18.92,-18.92,2.3978952727983707,15.66232436477393,9.88
2021-05,2021,5,GPP,10,2,6.0,66.67,66.67,2.3978952727983707,118.37032436477394,25.58
2021-09,2021,9,GPP,16,2,3.6666666666666665,336.36,300.0,2.833213344056216,405.33141350489944,69.47
2022-05,2022,5,GPP,16,2,4.333333333333333,269.23,269.23,2.833213344056216,368.40741350489947,63.82
2022-09,2022,9,GPP,11,2,4.333333333333333,153.85,153.85,2.4849066497880004,224.37850639660797,41.79
2022-11,2022,11,GPP,10,2,6.333333333333333,57.89,57.89,2.3978952727983707,107.83432436477393,23.97
2020-03,2020,3,LPJ_BENDAHARA,10,2,6.0,66.67,66.67,2.3978952727983707,118.37032436477394,25.58
2021-02,2021,2,LPJ_BENDAHARA,14,2,2.6666666666666665,425.0,300.0,2.70805020110221,403.32880321763537,69.16
2022-01,2022,1,MPN_G3,17,2,2.3333333333333335,628.57,300.0,2.8903717578961645,406.24594812633865,69.61
2022-12,2022,12,MPN_G3,11,2,4.0,175.0,175.0,2.4849066497880004,249.758506396608,45.68
2020-01,2020,1,OMSPAN,36,5,,,0.0,3.6109179126442243,144.43671650576897,29.57
2020-02,2020,2,OMSPAN,25,5,36.0,-30.56,-30.56,3.258096538021482,38.64386152085929,13.39
2020-03,2020,3,OMSPAN,30,5,30.5,-1.64,-1.64,3.4339872044851463,132.43948817940586,27.73
2020-04,2020,4,OMSPAN,19,5,30.333333333333332,-37.36,-37.36,2.995732273553991,7.749290942159632,8.67
2020-05,2020,5,OMSPAN,17,5,24.666666666666668,-31.08,-31.08,2.8903717578961645,22.3748703158466,10.9
2020-06,2020,6,OMSPAN,23,5,22.0,4.55,4.55,3.1780538303479458,140.77215321391782,29.01
2020-07,2020,7,OMSPAN,19,5,19.666666666666668,-3.39,-3.39,2.995732273553991,109.65929094215964,24.25
2020-08,2020,8,OMSPAN,31,5,19.666666666666668,57.63,57.63,3.4657359027997265,311.5194361119891,55.12
2020-09,2020,9,OMSPAN,34,5,24.333333333333332,39.73,39.73,3.5553480614894135,261.4039224595765,47.46
2020-10,2020,10,OMSPAN,38,5,28.0,35.71,35.71,3.6635616461296463,253.67246584518585,46.27
2020-11,2020,11,OMSPAN,43,5,34.333333333333336,25.24,25.24,3.784189633918261,227.08758535673044,42.21
2020-12,2020,12,OMSPAN,19,5,38.333333333333336,-50.43,-50.43,2.995732273553991,-31.46070905784036,2.67
2021-01,2021,1,OMSPAN,23,5,33.333333333333336,-31.0,-31.0,3.1780538303479458,34.12215321391784,12.7
2021-02,2021,2,OMSPAN,21,5,28.333333333333332,-25.88,-25.88,3.091042453358316,46.00169813433265,14.52
2021-03,2021,3,OMSPAN,21,5,21.0,0.0,0.0,3.091042453358316,123.64169813433264,26.39
2021-04,2021,4,OMSPAN,18,5,21.666666666666668,-16.92,-16.92,2.9444389791664403,67.0175591666576,17.73
2021-05,2021,5,OMSPAN,15,5,20.0,-25.0,-25.0,2.772588722239781,35.903548889591264,12.97
2021-06,2021,6,OMSPAN,16,5,18.0,-11.11,-11.11,2.833213344056216,79.99853376224864,19.72
2021-07,2021,7,OMSPAN,21,5,16.333333333333332,28.57,28.57,3.091042453358316,209.35169813433262,39.5
2021-08,2021,8,OMSPAN,22,5,17.333333333333332,26.92,26.92,3.1354942159291497,206.17976863716598,39.01
2021-09,2021,9,OMSPAN,27,5,19.666666666666668,37.29,37.29,3.332204510175204,245.15818040700816,44.97
2021-10,2021,10,OMSPAN,33,5,23.333333333333332,41.43,41.43,3.5263605246161616,265.3444209846465,48.06
2021-11,2021,11,OMSPAN,25,5,27.333333333333332,-8.54,-8.54,3.258096538021482,104.70386152085929,23.49
2021-12,2021,12,OMSPAN,27,5,28.333333333333332,-4.71,-4.71,3.332204510175204,119.15818040700816,25.7
2022-02,2022,2,OMSPAN,14,5,20.0,-30.0,-30.0,2.70805020110221,18.32200804408842,10.28
2022-04,2022,4,OMSPAN,16,5,9.666666666666666,65.52,65.52,2.833213344056216,309.88853376224864,54.87
2022-05,2022,5,OMSPAN,19,5,12.333333333333334,54.05,54.05,2.995732273553991,281.97929094215965,50.6
2022-08,2022,8,OMSPAN,17,5,11.333333333333334,50.0,50.0,2.8903717578961645,265.6148703158466,48.1
2022-09,2022,9,OMSPAN,10,5,10.666666666666666,-6.25,-6.25,2.3978952727983707,77.16581091193483,19.28
2020-01,2020,1,SAKTI,102,5,,,0.0,4.634728988229636,185.38915952918543,35.83
2020-02,2020,2,SAKTI,120,5,102.0,17.65,17.65,4.795790545596741,244.78162182386964,44.91
2020-03,2020,3,SAKTI,75,5,111.0,-32.43,-32.43,4.330733340286331,75.93933361145325,19.09
2020-04,2020,4,SAKTI,61,5,99.0,-38.38,-38.38,4.127134385045092,49.94537540180366,15.12
2020-05,2020,5,SAKTI,68,5,85.33333333333333,-20.31,-20.31,4.23410650459726,108.43426018389039,24.06
2020-06,2020,6,SAKTI,58,5,68.0,-14.71,-14.71,4.07753744390572,118.97149775622879,25.68
2020-07,2020,7,SAKTI,86,5,62.333333333333336,37.97,37.97,4.465908118654584,292.54632474618336,52.22
2020-08,2020,8,SAKTI,63,5,70.66666666666667,-10.85,-10.85,4.1588830833596715,133.80532333438686,27.94
2020-09,2020,9,SAKTI,56,5,69.0,-18.84,-18.84,4.04305126783455,105.202050713382,23.57
2020-10,2020,10,SAKTI,70,5,68.33333333333333,2.44,2.44,4.2626798770413155,177.8271950816526,34.68
2020-11,2020,11,SAKTI,65,5,63.0,3.17,3.17,4.189654742026425,177.09618968105704,34.56
2020-12,2020,12,SAKTI,73,5,63.666666666666664,14.66,14.66,4.30406509320417,216.14260372816682,40.54
2021-01,2021,1,SAKTI,83,5,69.33333333333333,19.71,19.71,4.430816798843313,236.36267195373253,43.63
2021-02,2021,2,SAKTI,77,5,73.66666666666667,4.52,4.52,4.356708826689592,187.82835306758363,36.21
2021-03,2021,3,SAKTI,58,5,77.66666666666667,-25.32,-25.32,4.07753744390572,87.14149775622879,20.81
2021-04,2021,4,SAKTI,80,5,72.66666666666667,10.09,10.09,4.394449154672439,206.04796618689758,38.99
2021-05,2021,5,SAKTI,92,5,71.66666666666667,28.37,28.37,4.532599493153256,266.41397972613026,48.22
2021-06,2021,6,SAKTI,89,5,76.66666666666667,16.09,16.09,4.499809670330265,228.26238681321058,42.39
2021-07,2021,7,SAKTI,63,5,87.0,-27.59,-27.59,4.1588830833596715,83.58532333438687,20.26
2021-08,2021,8,SAKTI,71,5,81.33333333333333,-12.7,-12.7,4.276666119016055,132.96664476064223,27.82
2021-09,2021,9,SAKTI,57,5,74.33333333333333,-23.32,-23.32,4.060443010546419,92.45772042185678,21.62
2021-10,2021,10,SAKTI,52,5,63.666666666666664,-18.32,-18.32,3.970291913552122,103.8516765420849,23.36
2021-11,2021,11,SAKTI,50,5,60.0,-16.67,-16.67,3.9318256327243257,107.26302530897303,23.88
2021-12,2021,12,SAKTI,68,5,53.0,28.3,28.3,4.23410650459726,254.26426018389037,46.36
2022-01,2022,1,SAKTI,83,5,56.666666666666664,46.47,46.47,4.430816798843313,316.64267195373253,55.9
2022-02,2022,2,SAKTI,92,5,67.0,37.31,37.31,4.532599493153256,293.2339797261302,52.32
2022-03,2022,3,SAKTI,114,5,81.0,40.74,40.74,4.74493212836325,312.01728513452997,55.2
2022-04,2022,4,SAKTI,86,5,96.33333333333333,-10.73,-10.73,4.465908118654584,146.44632474618336,29.88
2022-05,2022,5,SAKTI,89,5,97.33333333333333,-8.56,-8.56,4.499809670330265,154.3123868132106,31.08
2022-06,2022,6,SAKTI,107,5,96.33333333333333,11.07,11.07,4.68213122712422,220.4952490849688,41.2
2022-07,2022,7,SAKTI,161,5,94.0,71.28,71.28,5.087596335232384,417.3438534092953,71.3
2022-08,2022,8,SAKTI,141,5,119.0,18.49,18.49,4.955827057601261,253.70308230405047,46.28
2022-09,2022,9,SAKTI,96,5,136.33333333333334,-29.58,-29.58,4.574710978503383,94.24843914013533,21.89
2022-10,2022,10,SAKTI,123,5,132.66666666666666,-7.29,-7.29,4.820281565605037,170.94126262420147,33.62
2022-11,2022,11,SAKTI,87,5,120.0,-27.5,-27.5,4.477336814478207,96.59347257912827,22.25
2022-12,2022,12,SAKTI,100,5,102.0,-1.96,-1.96,4.61512051684126,178.72482067365038,34.81
2020-02,2020,2,SAS,11,2,7.0,57.14,57.14,2.4849066497880004,108.32650639660801,24.05
2022-09,2022,9,SIMASPATEN,10,2,4.333333333333333,130.77,130.77,2.3978952727983707,195.29032436477394,37.35
2020-01,2020,1,SPAN,32,5,,,0.0,3.4965075614664802,139.86030245865922,28.87
2020-02,2020,2,SPAN,20,5,32.0,-37.5,-37.5,3.044522437723423,9.28089750893692,8.9
2020-03,2020,3,SPAN,26,5,26.0,0.0,0.0,3.295836866004329,131.83347464017316,27.64
2020-04,2020,4,SPAN,32,5,26.0,23.08,23.08,3.4965075614664802,209.10030245865923,39.46
2020-05,2020,5,SPAN,23,5,26.0,-11.54,-11.54,3.1780538303479458,92.50215321391784,21.63
2020-06,2020,6,SPAN,21,5,27.0,-22.22,-22.22,3.091042453358316,56.981698134332646,16.2
2020-07,2020,7,SPAN,13,5,25.333333333333332,-48.68,-48.68,2.6390573296152584,-40.47770681538964,1.29
2020-08,2020,8,SPAN,21,5,19.0,10.53,10.53,3.091042453358316,155.23169813433265,31.22
2020-09,2020,9,SPAN,18,5,18.333333333333332,-1.82,-1.82,2.9444389791664403,112.31755916665762,24.66
2020-10,2020,10,SPAN,20,5,17.333333333333332,15.38,15.38,3.044522437723423,167.92089750893692,33.16
2020-11,2020,11,SPAN,15,5,19.666666666666668,-23.73,-23.73,2.772588722239781,39.713548889591266,13.55
2020-12,2020,12,SPAN,31,5,17.666666666666668,75.47,75.47,3.4657359027997265,365.03943611198906,63.31
2021-01,2021,1,SPAN,18,5,22.0,-18.18,-18.18,2.9444389791664403,63.23755916665761,17.15
2021-02,2021,2,SPAN,21,5,21.333333333333332,-1.56,-1.56,3.091042453358316,118.96169813433264,25.67
2021-03,2021,3,SPAN,24,5,23.333333333333332,2.86,2.86,3.2188758248682006,137.33503299472804,28.48
2021-04,2021,4,SPAN,18,5,21.0,-14.29,-14.29,2.9444389791664403,74.9075591666576,18.94
2021-05,2021,5,SPAN,12,5,21.0,-42.86,-42.86,2.5649493574615367,-25.982025701538518,3.51
2021-06,2021,6,SPAN,15,5,18.0,-16.67,-16.67,2.772588722239781,60.89354888959126,16.79
2021-07,2021,7,SPAN,23,5,15.0,53.33,53.33,3.1780538303479458,287.11215321391785,51.39
2021-08,2021,8,SPAN,23,5,16.666666666666668,38.0,38.0,3.1780538303479458,241.12215321391784,44.36
