topic,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
CAPAIAN_OUTPUT,2.0,0.0,1.0,0.0,1.0,4.0,4.0,3.0,2.0,1.0,3.0,3.0,2.0,0.0,10.0,0.0,4.0,0.0,2.0,3.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
DIGIT,3.0,6.0,9.0,9.0,1.0,6.0,8.0,4.0,4.0,6.0,3.0,5.0,17.0,7.0,11.0,14.0,16.0,21.0,6.0,10.0,10.0,4.0,17.0,25.0,25.0,15.0,27.0,30.0,22.0,22.0,8.0,13.0,46.0,19.0,28.0,10.0
GPP,7.0,5.0,10.0,7.0,21.0,8.0,4.0,9.0,7.0,3.0,4.0,4.0,7.0,6.0,5.0,6.0,9.0,4.0,2.0,7.0,17.0,9.0,9.0,2.0,1.0,1.0,2.0,9.0,17.0,8.0,2.0,3.0,8.0,5.0,11.0,4.0
KONTRAK,1.0,4.0,5.0,4.0,4.0,5.0,6.0,6.0,1.0,3.0,2.0,4.0,1.0,1.0,4.0,5.0,1.0,5.0,1.0,5.0,3.0,6.0,6.0,4.0,2.0,2.0,1.0,4.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0
LAINNYA,61.0,74.0,82.0,58.0,73.0,71.0,65.0,83.0,82.0,81.0,69.0,70.0,58.0,90.0,69.0,72.0,67.0,85.0,96.0,69.0,81.0,88.0,84.0,79.0,85.0,74.0,68.0,74.0,62.0,51.0,55.0,65.0,65.0,61.0,76.0,64.0
LPJ_BENDAHARA,4.0,9.0,10.0,3.0,4.0,3.0,5.0,6.0,4.0,1.0,2.0,6.0,3.0,14.0,4.0,2.0,5.0,4.0,3.0,5.0,9.0,1.0,4.0,1.0,5.0,9.0,1.0,6.0,6.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0
MPN_G3,3.0,4.0,1.0,2.0,4.0,2.0,3.0,0.0,3.0,2.0,2.0,3.0,0.0,1.0,5.0,1.0,4.0,2.0,2.0,5.0,2.0,0.0,3.0,5.0,26.0,12.0,4.0,8.0,7.0,4.0,1.0,6.0,5.0,6.0,2.0,13.0
OMSPAN,32.0,20.0,24.0,19.0,12.0,21.0,16.0,28.0,30.0,35.0,37.0,17.0,23.0,16.0,20.0,17.0,11.0,13.0,15.0,18.0,22.0,23.0,22.0,24.0,8.0,11.0,4.0,14.0,18.0,6.0,11.0,16.0,11.0,8.0,8.0,6.0
PIN_PPSPM,0.0,3.0,1.0,1.0,0.0,1.0,4.0,0.0,2.0,3.0,2.0,1.0,4.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,3.0,2.0,0.0,1.0,3.0,3.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0
PMRT,3.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
REVISI_DIPA,2.0,6.0,1.0,0.0,2.0,4.0,1.0,3.0,4.0,3.0,5.0,4.0,3.0,2.0,3.0,0.0,5.0,4.0,5.0,6.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,3.0,1.0,2.0,3.0,0.0
SAKTI,92.0,109.0,66.0,56.0,58.0,56.0,77.0,53.0,47.0,63.0,58.0,60.0,72.0,66.0,52.0,69.0,71.0,76.0,60.0,61.0,52.0,47.0,46.0,62.0,72.0,83.0,104.0,78.0,82.0,100.0,150.0,131.0,82.0,116.0,80.0,95.0
SAS,7.0,11.0,9.0,3.0,2.0,5.0,6.0,2.0,3.0,2.0,4.0,3.0,6.0,5.0,4.0,6.0,1.0,3.0,3.0,4.0,1.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SIMASPATEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,4.0,2.0,4.0,2.0,1.0,3.0,7.0,6.0,2.0,3.0,5.0,4.0,3.0,1.0,2.0,3.0,3.0,4.0,5.0,6.0,2.0,7.0,15.0,3.0,9.0,1.0
SP2D,3.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0,2.0,0.0,3.0,3.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SPAN,31.0,18.0,26.0,27.0,21.0,21.0,13.0,18.0,16.0,16.0,11.0,25.0,13.0,20.0,22.0,18.0,11.0,12.0,19.0,22.0,25.0,24.0,26.0,19.0,16.0,10.0,20.0,6.0,14.0,18.0,8.0,12.0,10.0,11.0,11.0,6.0
SPM,13.0,6.0,11.0,20.0,26.0,18.0,13.0,15.0,14.0,17.0,7.0,26.0,6.0,14.0,9.0,18.0,19.0,10.0,12.0,9.0,17.0,12.0,13.0,10.0,15.0,11.0,7.0,11.0,4.0,9.0,2.0,4.0,6.0,9.0,11.0,14.0
SUPPLIER,2.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,0.0,2.0,5.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0
UP_TUP_GUP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
