periode,tahun,bulan,ikpa_score
2020-01,2020,1,86.12
2020-02,2020,2,86.56
2020-03,2020,3,85.78
2020-04,2020,4,84.71
2020-05,2020,5,94.08
2020-06,2020,6,93.66
2020-07,2020,7,93.86
2020-08,2020,8,93.91
2020-09,2020,9,94.01
2020-10,2020,10,94.28
2020-11,2020,11,94.35
2020-12,2020,12,89.28
2021-01,2021,1,96.11
2021-02,2021,2,96.7
2021-03,2021,3,96.5
2021-04,2021,4,87.68
2021-05,2021,5,89.19
2021-06,2021,6,91.02
2021-07,2021,7,90.7
2021-08,2021,8,91.76
2021-09,2021,9,93.16
2021-10,2021,10,90.87
2021-11,2021,11,92.63
2021-12,2021,12,94.17
2022-01,2022,1,66.66
2022-02,2022,2,79.91
2022-03,2022,3,93.49
2022-04,2022,4,81.48
2022-05,2022,5,85.64
2022-06,2022,6,92.22
2022-07,2022,7,88.64
2022-08,2022,8,90.6
2022-09,2022,9,92.48
2022-10,2022,10,90.81
2022-11,2022,11,92.32
2022-12,2022,12,93.34
