periode,tahun,bulan,realisasi_bulan,realisasi_kumulatif,realisasi_pct
2020-01,2020,1,162367759198.0,162367759198.0,1.69
2020-02,2020,2,693269400358.0,855637159556.0,8.88
2020-03,2020,3,502682862997.0,1358320022553.0,14.1
2020-04,2020,4,652314160721.0,2010634183274.0,20.88
2020-05,2020,5,799307755593.0,2809941938867.0,29.18
2020-06,2020,6,895078801145.0,3705020740012.0,38.47
2020-07,2020,7,695777888105.0,4400798628117.0,45.7
2020-08,2020,8,1268865841297.0,5669664469414.0,58.87
2020-09,2020,9,873900937360.0,6543565406774.0,67.95
2020-10,2020,10,558917327469.0,7102482734243.0,73.75
2020-11,2020,11,717828093284.0,7820310827527.0,81.21
2020-12,2020,12,1362540881879.0,9182851709406.0,95.35
2021-01,2021,1,361069045244.0,361069045244.0,3.53
2021-02,2021,2,419316160710.0,780385205954.0,7.63
2021-03,2021,3,713173357120.0,1493558563074.0,14.6
2021-04,2021,4,705277576339.0,2198836139413.0,21.49
2021-05,2021,5,1028208334713.0,3227044474126.0,31.54
2021-06,2021,6,876344004204.0,4103388478330.0,40.1
2021-07,2021,7,669013779598.0,4772402257928.0,46.64
2021-08,2021,8,757011293128.0,5529413551056.0,54.04
2021-09,2021,9,824984141855.0,6354397692911.0,62.1
2021-10,2021,10,1119344198408.0,7473741891319.0,73.04
2021-11,2021,11,845057139647.0,8318799030966.0,81.3
2021-12,2021,12,1508934161798.0,9827733192764.0,96.05
2022-01,2022,1,162949968593.0,162949968593.0,1.65
2022-02,2022,2,582571073312.0,745521041905.0,7.53
2022-03,2022,3,608477617329.0,1353998659234.0,13.68
2022-04,2022,4,975908513124.0,2329907172358.0,23.53
2022-05,2022,5,405886899271.0,2735794071629.0,27.63
2022-06,2022,6,931198966186.0,3666993037815.0,37.04
2022-07,2022,7,857550237556.0,4524543275371.0,45.7
2022-08,2022,8,729077238459.0,5253620513830.0,53.07
2022-09,2022,9,803200745943.0,6056821259773.0,61.18
2022-10,2022,10,1076203221450.0,7133024481223.0,72.05
2022-11,2022,11,758172729079.0,7891197210302.0,79.71
2022-12,2022,12,1651462863807.0,9542660074109.0,96.39
