periode,hai_risk,ikpa_score,ikpa_risk,realisasi_pct,realisasi_risk,risk_score,risk_level,threshold_yellow,threshold_red,tahun,bulan
2020-01,33.45185311611327,86.12,13.879999999999995,1.69,41.21388815266367,29.13,GREEN,44.82,60.76,2020,1
2020-02,6.772974839572058,86.56,13.439999999999998,8.88,50.30479724357273,17.48,GREEN,44.82,60.76,2020,2
2020-03,23.47149937679753,85.78,14.219999999999999,14.1,75.0596342433077,31.01,GREEN,44.82,60.76,2020,3
2020-04,40.11959972142484,84.71,15.290000000000006,20.88,87.41054863503837,42.13,GREEN,44.82,60.76,2020,4
2020-05,50.12396547889777,94.08,5.920000000000002,29.18,87.67558971640604,44.37,GREEN,44.82,60.76,2020,5
2020-06,22.589610493262903,93.66,6.340000000000003,38.47,80.06891068115556,29.21,GREEN,44.82,60.76,2020,6
2020-07,8.389677879913839,93.86,6.140000000000001,45.7,88.8417704744235,23.81,GREEN,44.82,60.76,2020,7
2020-08,42.8558913453784,93.91,6.090000000000003,58.87,50.38430956798299,33.33,GREEN,44.82,60.76,2020,8
2020-09,25.7049910617872,94.01,5.989999999999995,67.95,44.44738934534851,23.54,GREEN,44.82,60.76,2020,9
2020-10,58.95508516286881,94.28,5.719999999999999,73.75,64.5905115292871,44.11,GREEN,44.82,60.76,2020,10
2020-11,29.31985023740084,94.35,5.650000000000006,81.21,71.53458786111842,30.66,GREEN,44.82,60.76,2020,11
2020-12,84.90634094481338,89.28,10.719999999999999,95.35,25.36443148688054,50.74,YELLOW,44.82,60.76,2020,12
2021-01,53.705771630377455,96.11,3.8900000000000006,3.53,26.583620461171503,33.34,GREEN,44.82,60.76,2021,1
2021-02,54.03086154611526,96.7,3.299999999999997,7.63,60.24383779485818,40.05,GREEN,44.82,60.76,2021,2
2021-03,93.79647839586359,96.5,3.5,14.6,71.08401802279352,62.17,RED,44.82,60.76,2021,3
2021-04,41.863474997838125,87.68,12.319999999999993,21.49,82.56029684601107,41.14,GREEN,44.82,60.76,2021,4
2021-05,13.330072747129499,89.19,10.810000000000002,31.54,68.91068115557914,23.69,GREEN,44.82,60.76,2021,5
2021-06,1.6693141471707036,91.02,8.980000000000004,40.1,67.10840180227933,16.95,GREEN,44.82,60.76,2021,6
2021-07,29.544568709844327,90.7,9.299999999999997,46.64,81.36761197985687,33.84,GREEN,44.82,60.76,2021,7
2021-08,50.66123733992659,91.76,8.239999999999995,54.04,88.78876225814992,45.56,YELLOW,44.82,60.76,2021,8
2021-09,100.0,93.16,6.840000000000003,62.1,90.96209912536438,70.24,RED,44.82,60.76,2021,9
2021-10,31.129690577002826,90.87,9.129999999999995,73.04,70.23588656241718,32.35,GREEN,44.82,60.76,2021,10
2021-11,34.10113903340463,92.63,7.3700000000000045,81.3,70.81897694142584,33.43,GREEN,44.82,60.76,2021,11
2021-12,33.4340803309952,94.17,5.829999999999998,96.05,19.798568778160668,22.43,GREEN,44.82,60.76,2021,12
2022-01,71.80952073452055,66.66,33.34,1.65,41.531937450304795,54.21,YELLOW,44.82,60.76,2022,1
2022-02,0.0,79.91,20.090000000000003,7.53,61.038961038961006,18.23,GREEN,44.82,60.76,2022,2
2022-03,74.99883902925477,93.49,6.510000000000005,13.68,78.39915186853959,55.13,YELLOW,44.82,60.76,2022,3
2022-04,52.87995608800402,81.48,18.519999999999996,23.53,66.33978266631321,45.26,YELLOW,44.82,60.76,2022,4
2022-05,86.59455203123264,85.64,14.36,27.63,100.0,67.61,RED,44.82,60.76,2022,5
2022-06,47.14943862833478,92.22,7.780000000000001,37.04,91.4391730718261,44.2,GREEN,44.82,60.76,2022,6
2022-07,93.96043443662943,88.64,11.36,45.7,88.8417704744235,68.16,RED,44.82,60.76,2022,7
2022-08,35.745760830647086,90.6,9.400000000000006,53.07,96.5014577259474,39.99,GREEN,44.82,60.76,2022,8
2022-09,48.99525177560949,92.48,7.519999999999996,61.18,98.27723297111048,46.41,YELLOW,44.82,60.76,2022,9
2022-10,19.727449001086708,90.81,9.189999999999998,72.05,78.10760667903533,28.24,GREEN,44.82,60.76,2022,10
2022-11,33.50219324635511,92.32,7.680000000000007,79.71,83.46143652266096,35.75,GREEN,44.82,60.76,2022,11
2022-12,57.1147011915083,93.34,6.659999999999997,96.39,17.095149748211004,33.97,GREEN,44.82,60.76,2022,12
2023-01,40.26530072504664,76.09,23.909999999999997,4.94,15.372382719321518,30.38,GREEN,44.82,60.76,2023,1
2023-02,41.649848550897936,87.42,12.579999999999998,10.47,37.662337662337656,32.13,GREEN,44.82,60.76,2023,2
2023-03,47.394867741431604,94.79,5.209999999999994,16.7,54.386429896633985,36.14,GREEN,44.82,60.76,2023,3
2023-04,99.8929879709879,91.7,8.299999999999997,24.54,58.30903790087459,64.1,RED,44.82,60.76,2023,4
2023-05,33.45668554036474,93.24,6.760000000000005,30.28,78.92923403127486,34.54,GREEN,44.82,60.76,2023,5
2023-06,39.43344882315744,94.62,5.3799999999999955,37.93,84.36257619931087,38.2,GREEN,44.82,60.76,2023,6
2023-07,50.443338494424815,92.9,7.099999999999994,47.24,76.59687251523984,42.67,GREEN,44.82,60.76,2023,7
