target,topic,lag,correlation,abs_correlation,direction
ikpa_score,MPN_G3,0,-0.566,0.566,NEGATIVE
ikpa_score,CAPAIAN_OUTPUT,0,0.3903,0.3903,POSITIVE
ikpa_score,PMRT,1,-0.3086,0.3086,NEGATIVE
ikpa_score,GPP,1,0.2972,0.2972,POSITIVE
ikpa_score,PIN_PPSPM,0,0.2955,0.2955,POSITIVE
ikpa_score,SIMASPATEN,1,0.283,0.283,POSITIVE
ikpa_score,SUPPLIER,0,-0.2652,0.2652,NEGATIVE
ikpa_score,OMSPAN,0,0.238,0.238,POSITIVE
ikpa_score,LPJ_BENDAHARA,0,-0.2241,0.2241,NEGATIVE
ikpa_score,SAS,2,-0.2093,0.2093,NEGATIVE
ikpa_score,SP2D,3,-0.1907,0.1907,NEGATIVE
ikpa_score,REVISI_DIPA,0,0.1831,0.1831,POSITIVE
ikpa_score,SAKTI,1,-0.1659,0.1659,NEGATIVE
ikpa_score,SPM,1,0.1479,0.1479,POSITIVE
ikpa_score,SPAN,2,-0.1345,0.1345,NEGATIVE
ikpa_score,DIGIT,1,-0.1274,0.1274,NEGATIVE
ikpa_score,LAINNYA,3,-0.1092,0.1092,NEGATIVE
ikpa_score,KONTRAK,0,0.0822,0.0822,POSITIVE
