target,topic,lag,correlation,abs_correlation,direction
realisasi_pct,SAS,0,-0.5696,0.5696,NEGATIVE
realisasi_pct,SIMASPATEN,3,0.4868,0.4868,POSITIVE
realisasi_pct,PMRT,0,-0.4723,0.4723,NEGATIVE
realisasi_pct,UP_TUP_GUP,1,-0.4119,0.4119,NEGATIVE
realisasi_pct,LPJ_BENDAHARA,0,-0.3797,0.3797,NEGATIVE
realisasi_pct,MPN_G3,1,-0.3111,0.3111,NEGATIVE
realisasi_pct,OMSPAN,3,-0.3064,0.3064,NEGATIVE
realisasi_pct,GPP,3,0.2564,0.2564,POSITIVE
realisasi_pct,SPAN,3,-0.2436,0.2436,NEGATIVE
realisasi_pct,LAINNYA,1,0.2349,0.2349,POSITIVE
realisasi_pct,CAPAIAN_OUTPUT,1,-0.2337,0.2337,NEGATIVE
realisasi_pct,SP2D,1,-0.2161,0.2161,NEGATIVE
realisasi_pct,SAKTI,0,-0.1823,0.1823,NEGATIVE
realisasi_pct,KONTRAK,3,0.18,0.18,POSITIVE
realisasi_pct,SUPPLIER,2,-0.1531,0.1531,NEGATIVE
realisasi_pct,PIN_PPSPM,0,-0.1497,0.1497,NEGATIVE
realisasi_pct,SPM,3,-0.1338,0.1338,NEGATIVE
realisasi_pct,REVISI_DIPA,3,-0.133,0.133,NEGATIVE
realisasi_pct,DIGIT,3,0.1202,0.1202,POSITIVE
