target,topic,lag,correlation,abs_correlation,direction
realisasi_pct,PMRT,1,-0.5344,0.5344,NEGATIVE
realisasi_pct,SIMASPATEN,3,0.515,0.515,POSITIVE
realisasi_pct,SAS,0,-0.4841,0.4841,NEGATIVE
realisasi_pct,PMRT,2,-0.4327,0.4327,NEGATIVE
realisasi_pct,SAS,1,-0.4043,0.4043,NEGATIVE
realisasi_pct,SAS,2,-0.4012,0.4012,NEGATIVE
realisasi_pct,SIMASPATEN,1,0.3829,0.3829,POSITIVE
realisasi_pct,LPJ_BENDAHARA,0,-0.3798,0.3798,NEGATIVE
realisasi_pct,PMRT,0,-0.3443,0.3443,NEGATIVE
realisasi_pct,SIMASPATEN,2,0.3434,0.3434,POSITIVE
realisasi_pct,SP2D,2,-0.3325,0.3325,NEGATIVE
realisasi_pct,SP2D,1,-0.3166,0.3166,NEGATIVE
realisasi_pct,LPJ_BENDAHARA,1,-0.3109,0.3109,NEGATIVE
realisasi_pct,MPN_G3,1,-0.3069,0.3069,NEGATIVE
realisasi_pct,SUPPLIER,1,-0.3042,0.3042,NEGATIVE
realisasi_pct,SUPPLIER,2,-0.2955,0.2955,NEGATIVE
realisasi_pct,OMSPAN,3,-0.2783,0.2783,NEGATIVE
realisasi_pct,GPP,3,0.2638,0.2638,POSITIVE
realisasi_pct,SAS,3,-0.2422,0.2422,NEGATIVE
realisasi_pct,SPAN,3,-0.228,0.228,NEGATIVE
realisasi_pct,SP2D,3,-0.2249,0.2249,NEGATIVE
realisasi_pct,GPP,1,0.2024,0.2024,POSITIVE
realisasi_pct,SPAN,1,-0.2023,0.2023,NEGATIVE
realisasi_pct,SPAN,2,-0.2012,0.2012,NEGATIVE
realisasi_pct,MPN_G3,2,-0.1931,0.1931,NEGATIVE
realisasi_pct,LPJ_BENDAHARA,3,0.1931,0.1931,POSITIVE
realisasi_pct,REVISI_DIPA,0,0.1866,0.1866,POSITIVE
realisasi_pct,PIN_PPSPM,0,-0.176,0.176,NEGATIVE
realisasi_pct,SUPPLIER,0,-0.1754,0.1754,NEGATIVE
realisasi_pct,OMSPAN,1,0.173,0.173,POSITIVE
realisasi_pct,MPN_G3,0,-0.168,0.168,NEGATIVE
realisasi_pct,GPP,2,0.1679,0.1679,POSITIVE
realisasi_pct,SP2D,0,-0.1635,0.1635,NEGATIVE
realisasi_pct,MPN_G3,3,-0.1597,0.1597,NEGATIVE
realisasi_pct,CAPAIAN_OUTPUT,1,-0.157,0.157,NEGATIVE
realisasi_pct,SAKTI,3,0.1559,0.1559,POSITIVE
realisasi_pct,OMSPAN,0,0.1506,0.1506,POSITIVE
realisasi_pct,REVISI_DIPA,1,0.1502,0.1502,POSITIVE
realisasi_pct,SAKTI,0,-0.15,0.15,NEGATIVE
realisasi_pct,LPJ_BENDAHARA,2,-0.1475,0.1475,NEGATIVE
realisasi_pct,SUPPLIER,3,-0.1474,0.1474,NEGATIVE
realisasi_pct,CAPAIAN_OUTPUT,0,-0.1414,0.1414,NEGATIVE
realisasi_pct,SPAN,0,-0.1399,0.1399,NEGATIVE
realisasi_pct,LAINNYA,1,0.1291,0.1291,POSITIVE
realisasi_pct,LAINNYA,3,-0.1267,0.1267,NEGATIVE
realisasi_pct,PIN_PPSPM,3,-0.1238,0.1238,NEGATIVE
realisasi_pct,LAINNYA,0,0.1197,0.1197,POSITIVE
realisasi_pct,SPM,1,-0.1138,0.1138,NEGATIVE
realisasi_pct,DIGIT,3,0.1095,0.1095,POSITIVE
realisasi_pct,SPM,0,0.1062,0.1062,POSITIVE
realisasi_pct,KONTRAK,0,0.1047,0.1047,POSITIVE
realisasi_pct,SAKTI,1,-0.1003,0.1003,NEGATIVE
realisasi_pct,SPM,3,-0.0851,0.0851,NEGATIVE
realisasi_pct,SAKTI,2,0.0815,0.0815,POSITIVE
realisasi_pct,KONTRAK,1,0.077,0.077,POSITIVE
realisasi_pct,KONTRAK,3,-0.0584,0.0584,NEGATIVE
realisasi_pct,PMRT,3,-0.0583,0.0583,NEGATIVE
realisasi_pct,REVISI_DIPA,2,0.0562,0.0562,POSITIVE
realisasi_pct,SIMASPATEN,0,0.056,0.056,POSITIVE
realisasi_pct,KONTRAK,2,0.056,0.056,POSITIVE
realisasi_pct,DIGIT,2,-0.055,0.055,NEGATIVE
realisasi_pct,PIN_PPSPM,1,0.0472,0.0472,POSITIVE
realisasi_pct,OMSPAN,2,-0.0389,0.0389,NEGATIVE
realisasi_pct,SPM,2,-0.0366,0.0366,NEGATIVE
realisasi_pct,LAINNYA,2,0.0342,0.0342,POSITIVE
realisasi_pct,GPP,0,-0.0286,0.0286,NEGATIVE
realisasi_pct,DIGIT,1,-0.0281,0.0281,NEGATIVE
realisasi_pct,DIGIT,0,-0.0275,0.0275,NEGATIVE
realisasi_pct,REVISI_DIPA,3,-0.0206,0.0206,NEGATIVE
realisasi_pct,CAPAIAN_OUTPUT,2,-0.0149,0.0149,NEGATIVE
realisasi_pct,PIN_PPSPM,2,0.0141,0.0141,POSITIVE
realisasi_pct,CAPAIAN_OUTPUT,3,0.0047,0.0047,POSITIVE
