topic,complexity_score,emerging_index,impact_score,emerging_norm,complexity_norm,impact_norm,watchlist_score,priority,rank
MPN_G3,28.18,42.71,0.35465,81.85218338481704,72.85950495911146,86.30429316736095,79.59074494929799,CRITICAL,1
SAKTI,86.72,46.55,0.13915,83.67672685684339,100.0,37.04227569913425,76.21570076679329,CRITICAL,2
CAPAIAN_OUTPUT,37.59,100.0,0.14485,100.0,79.75172037354628,38.46140400308318,73.43910935034347,HIGH,3
SIMASPATEN,20.68,30.1,0.28035,74.47709776250278,65.5337056215592,70.26573442054465,69.63633190353791,HIGH,4
GPP,30.04,16.62,0.27005,62.16597399869626,74.38321529602999,67.96919824772996,68.79383779233986,HIGH,5
DIGIT,38.51,44.8,0.1327,82.8642302441455,80.33268399927677,35.42783078100465,67.62069190725575,HIGH,6
LPJ_BENDAHARA,23.68,55.22,0.1767,87.30590134699564,68.72948796848742,46.26330884376527,67.56255824462325,HIGH,7
SAS,11.29,20.78,0.3068,66.75864923270838,51.537584101804526,76.07954935380438,63.466493216675644,HIGH,8
SPM,32.06,27.56,0.11910000000000001,72.63097735453304,75.93785310283312,31.993387262906335,61.762450626365066,HIGH,9
OMSPAN,36.68,8.41,0.17865,48.574526827993466,79.16328291024615,46.7340923763294,60.257898925395324,HIGH,10
SPAN,33.51,12.06,0.10175000000000001,55.67685858845074,76.99630912907327,27.55084986534737,55.766836187768746,HIGH,11
SUPPLIER,6.93,0.0,0.26695,0.0,40.73399848921372,67.27436043099759,36.47590752498476,MEDIUM,12
REVISI_DIPA,11.81,0.0,0.15739999999999998,0.0,52.559426282520384,41.56123167054392,33.49214001417133,LOW,13
SP2D,5.63,0.0,0.24675000000000002,0.0,36.31898434504406,62.70464372598078,33.338986855811854,LOW,14
PMRT,0.52,0.0,0.4215,0.0,0.0,100.0,30.0,LOW,15
PIN_PPSPM,8.83,0.0,0.14055,0.0,46.030240581223765,37.3914903014307,29.629543322918714,LOW,16
KONTRAK,9.03,0.0,0.10435,0.0,46.52689864687301,28.22102816096678,27.077067907039236,LOW,17
UP_TUP_GUP,2.85,0.0,0.0,0.0,22.91645068596297,0.0,9.166580274385188,LOW,18
