subject,jumlah_tiket
(No subject),42
Konfirmasi Pembayaran,20
Permohonan Perubahan User SAKTI,19
SAKTI,14
Permasalahan terkait aplikasi,13
Perubahan User SAKTI,11
Transkrip Percakapan,10
Pendaftaran User SAKTI,9
Permohonan reset password DIGIT,9
Reset Password Digit,9
Identifikasi atas pembayaran (SP2D),8
Permintaan Penghapusan ADK PMRT,7
Koreksi SPM,7
Capaian Output,7
Perubahan User Sakti,7
simaspaten,7
,7
reset password digit,7
Reset User Digit,7
Reset Password,6
Permohonan Perubahan User Sakti,6
Penolakan SPM,6
Reset Password DIGIT,6
Chat Transcript,6
sakti,5
Permohonan Penghapusan ADK PMRT,5
Addendum Kontrak,5
Sakti,5
Pertanyaan,5
SIMASPATEN,5
capaian output,5
Subsidi,5
informasi kode pembayaran SPAN,5
RESET PASSWORD DIGIT,5
Aplikasi SAKTI,4
Upload SE MP,4
Aplikasi GPP,4
Permintaan Penggantian User SAKTI,4
Kekurangan Gaji,4
Mohon petunjuk,4
Permohonan Broadcast,4
IDENTIFIKASI RC,4
Aplikasi Sakti,4
Permohonan Penghapusan PMRT,4
reset password,4
Permintaan Pembatalan SP2D,4
SIKP,4
aplikasi simaspaten,4
Perjalanan Dinas,4
Update SAKTI,4
Reset Akun Digit,4
Help Bas Mobile Android,4
E-Jafung,4
Identifikasi Transfer SPAN,4
Sertifikat BNT,4
Identifikasi Kode SPAN PT. Telekomunikasi Indonesia Tbk,4
Permohonan Reset Password Digit,4
e jafung,4
reset user digit,4
Persetujuan User SAKTI Satker,4
push,3
LPJ Bendahara Pengeluaran,3
USER SAKTI,3
Aplikasi sakti,3
Permohonan Pergantian User SAKTI,3
User SPRINT,3
bertanya,3
lupa password,3
Tidak bisa login,3
Gaji PPNPN,3
Permohonan Reset Password,3
Koreksi Penerimaan,3
Aplikasi SAS,3
Permohonan reset password digit,3
Ejafung,3
Penolakan SPMKP,3
Tentukan kata sandi,3
Permintaan Username SIKP Non-KUR,3
permohonan perubahan user sakti,3
Aplikasi simaspaten,3
Perubahan user sakti,3
Permohonan reset password,3
Permohonan Reset Password SAKTI,3
Perjalanan dinas,3
Subsidi bunga,3
Email SAKTI,3
LPJ Bendahara,3
Rekon Gaji Menggantung,3
Sertifikat Bendahara,3
Lupa Password,3
User SAKTI,3
Simaspaten,3
ejafung,3
Permintaan void SP3HL,3
MP PNBP,3
Permohonan Reset Password DIGIT,3
aplikasi digit,3
Akun Digit,3
Rollback SKP,3
Migrasi Pengguna Simponi,3
Lupa Pasword,3
Perbaikan Transaksi Penerimaan Negara,3
Tutup Periode,3
Permohonan pembatalan transaksi,2
Honor Narasumber,2
Perubahan Terkait Maintenance SAKTI,2
Aplikasi SAS 20.0.2,2
Isian Email Kosong Pada saat buat spp PPNPN,2
Permintaan Reset Password,2
Reset Password Email Sakti,2
Konfirmasi Penerimaan,2
Revisi Halaman III DIPA,2
Revisi Halaman IV DIPA,2
Pengajuan user SAKTI untuk Level K/L dan Eselon I,2
Akun Belanja Modal Pada Pencatatan Penerimaan Barang/Jasa UP Tunai/Bank Tidak muncul,2
Permohonan User dan Password SAKTI,2
Permintaan Pergantian User SAKTI,2
SPM GUP,2
Perubahan Nomenklatur,2
permohonan migrasi PC SPAN ke Non SPAN,2
Permohonan User Admin PC SPAN,2
Permohonan penggantian user SAKTI,2
konfirmasi pajak,2
Perubahan Nomenklatur Satker,2
Sertifikasi Bendahara,2
Pendaftaran User Sakti,2
Permintaan Perubahan User SAKTI,2
user sakti,2
E-SPM,2
koreksi spm,2
Pengesahan Hibah,2
e-Jafung,2
Perbedaan Jumlah Saldo Kas di Rekening Bank pada ADK LPJ Bendahara Penerimaan,2
Informasi dana yang masuk ke pihak ketiga,2
gaji terusan,2
SPMKP ditolak,2
